title,director,country,listed_in,type,combined_features
For the Love of Spock,Adam Nimoy,Canada,Documentaries,Movie,For the Love of Spock Adam Nimoy Canada Documentaries Movie
White Girl,Elizabeth Wood,United States,"Dramas, Independent Movies",Movie,"White Girl Elizabeth Wood United States Dramas, Independent Movies Movie"
#Rucker50,Robert McCullough Jr.,United States,"Documentaries, Sports Movies",Movie,"#Rucker50 Robert McCullough Jr. United States Documentaries, Sports Movies Movie"
1000 Rupee Note,Shrihari Sathe,India,"Dramas, International Movies",Movie,"1000 Rupee Note Shrihari Sathe India Dramas, International Movies Movie"
Across Grace Alley,Ralph Macchio,United States,Dramas,Movie,Across Grace Alley Ralph Macchio United States Dramas Movie
Asu Mare 2,Ricardo Maldonado,Peru,"Comedies, International Movies",Movie,"Asu Mare 2 Ricardo Maldonado Peru Comedies, International Movies Movie"
Interrogation,Vetrimaaran,India,"Dramas, International Movies, Thrillers",Movie,"Interrogation Vetrimaaran India Dramas, International Movies, Thrillers Movie"
Rainbow Time,Linas Phillips,United States,"Comedies, Dramas, Independent Movies",Movie,"Rainbow Time Linas Phillips United States Comedies, Dramas, Independent Movies Movie"
Richard Pryor: Live in Concert,Jeff Margolis,United States,Stand-Up Comedy,Movie,Richard Pryor: Live in Concert Jeff Margolis United States Stand-Up Comedy Movie
The Violin Player,Bauddhayan Mukherji,India,"Dramas, Independent Movies, International Movies",Movie,"The Violin Player Bauddhayan Mukherji India Dramas, Independent Movies, International Movies Movie"
Beauties of the Night,María Jose Cuevas,Mexico,"Documentaries, International Movies",Movie,"Beauties of the Night María Jose Cuevas Mexico Documentaries, International Movies Movie"
Michael Che Matters,Oz Rodriguez,United States,Stand-Up Comedy,Movie,Michael Che Matters Oz Rodriguez United States Stand-Up Comedy Movie
Mercy,Chris Sparling,United States,"Dramas, Thrillers",Movie,"Mercy Chris Sparling United States Dramas, Thrillers Movie"
The Land of Cards,Qaushiq Mukherjee,India,"Dramas, Independent Movies, International Movies",Movie,"The Land of Cards Qaushiq Mukherjee India Dramas, Independent Movies, International Movies Movie"
Carlos Ballarta: El amor es de putos,"Jan Suter, Raúl Campos Delgado",Mexico,Stand-Up Comedy,Movie,"Carlos Ballarta: El amor es de putos Jan Suter, Raúl Campos Delgado Mexico Stand-Up Comedy Movie"
Donald Glover: Weirdo,"Shannon Hartman, Michelle Caputo",United States,Stand-Up Comedy,Movie,"Donald Glover: Weirdo Shannon Hartman, Michelle Caputo United States Stand-Up Comedy Movie"
Colin Quinn: The New York Story,Jerry Seinfeld,United States,Stand-Up Comedy,Movie,Colin Quinn: The New York Story Jerry Seinfeld United States Stand-Up Comedy Movie
Divines,Houda Benyamina,France,"Dramas, Independent Movies, International Movies",Movie,"Divines Houda Benyamina France Dramas, Independent Movies, International Movies Movie"
Mumbai Cha Raja,Manjeet Singh,India,"Dramas, Independent Movies, International Movies",Movie,"Mumbai Cha Raja Manjeet Singh India Dramas, Independent Movies, International Movies Movie"
True Memoirs of an International Assassin,Jeff Wadlow,United States,"Action & Adventure, Comedies",Movie,"True Memoirs of an International Assassin Jeff Wadlow United States Action & Adventure, Comedies Movie"
Santa Pac's Merry Berry Day,Moto Sakakibara,Not Given,Movies,Movie,Santa Pac's Merry Berry Day Moto Sakakibara Not Given Movies Movie
Kathleen Madigan: Bothering Jesus,Lorene Machado,United States,Stand-Up Comedy,Movie,Kathleen Madigan: Bothering Jesus Lorene Machado United States Stand-Up Comedy Movie
"Dana Carvey: Straight White Male, 60",Marcus Raboy,United States,Stand-Up Comedy,Movie,"Dana Carvey: Straight White Male, 60 Marcus Raboy United States Stand-Up Comedy Movie"
The Ivory Game,"Kief Davidson, Richard Ladkani",Austria,Documentaries,Movie,"The Ivory Game Kief Davidson, Richard Ladkani Austria Documentaries Movie"
A Grand Night In: The Story of Aardman,Richard Mears,United Kingdom,Documentaries,Movie,A Grand Night In: The Story of Aardman Richard Mears United Kingdom Documentaries Movie
Norman Lear: Just Another Version of You,"Heidi Ewing, Rachel Grady",United States,Documentaries,Movie,"Norman Lear: Just Another Version of You Heidi Ewing, Rachel Grady United States Documentaries Movie"
Spanish Affair 2,Emilio Martínez Lázaro,Spain,"Comedies, International Movies, Romantic Movies",Movie,"Spanish Affair 2 Emilio Martínez Lázaro Spain Comedies, International Movies, Romantic Movies Movie"
Pup Star,Robert Vince,Canada,"Children & Family Movies, Comedies",Movie,"Pup Star Robert Vince Canada Children & Family Movies, Comedies Movie"
I Am the Pretty Thing That Lives in the House,Osgood Perkins,Canada,"Horror Movies, International Movies, Thrillers",Movie,"I Am the Pretty Thing That Lives in the House Osgood Perkins Canada Horror Movies, International Movies, Thrillers Movie"
Into the Inferno,Werner Herzog,United Kingdom,Documentaries,Movie,Into the Inferno Werner Herzog United Kingdom Documentaries Movie
The African Doctor,Julien Rambaldi,France,"Comedies, Dramas, International Movies",Movie,"The African Doctor Julien Rambaldi France Comedies, Dramas, International Movies Movie"
They Are Everywhere,Yvan Attal,France,"Comedies, International Movies",Movie,"They Are Everywhere Yvan Attal France Comedies, International Movies Movie"
West Coast,Benjamin Weill,France,"Comedies, Dramas, International Movies",Movie,"West Coast Benjamin Weill France Comedies, Dramas, International Movies Movie"
7 años,Roger Gual,Spain,"Dramas, International Movies",Movie,"7 años Roger Gual Spain Dramas, International Movies Movie"
Joe Rogan: Triggered,Anthony Giordano,United States,Stand-Up Comedy,Movie,Joe Rogan: Triggered Anthony Giordano United States Stand-Up Comedy Movie
A Mighty Team,Thomas Sorriaux,France,"Comedies, International Movies, Sports Movies",Movie,"A Mighty Team Thomas Sorriaux France Comedies, International Movies, Sports Movies Movie"
Berserk: The Golden Age Arc I - The Egg of the King,Toshiyuki Kubooka,Japan,"Action & Adventure, Anime Features, International Movies",Movie,"Berserk: The Golden Age Arc I - The Egg of the King Toshiyuki Kubooka Japan Action & Adventure, Anime Features, International Movies Movie"
Bleach The Movie: Fade to Black,Noriyuki Abe,Japan,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",Movie,"Bleach The Movie: Fade to Black Noriyuki Abe Japan Action & Adventure, Anime Features, Sci-Fi & Fantasy Movie"
Bleach the Movie: Hell Verse,Noriyuki Abe,Japan,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",Movie,"Bleach the Movie: Hell Verse Noriyuki Abe Japan Action & Adventure, Anime Features, Sci-Fi & Fantasy Movie"
Blind Date,Clovis Cornillac,France,"Comedies, International Movies, Music & Musicals",Movie,"Blind Date Clovis Cornillac France Comedies, International Movies, Music & Musicals Movie"
Sky Ladder: The Art of Cai Guo-Qiang,Kevin MacDonald,United States,Documentaries,Movie,Sky Ladder: The Art of Cai Guo-Qiang Kevin MacDonald United States Documentaries Movie
Mascots,Christopher Guest,United States,Comedies,Movie,Mascots Christopher Guest United States Comedies Movie
Justin Timberlake + the Tennessee Kids,Jonathan Demme,United States,Music & Musicals,Movie,Justin Timberlake + the Tennessee Kids Jonathan Demme United States Music & Musicals Movie
The Siege of Jadotville,Richie Smyth,Ireland,"Action & Adventure, Dramas, International Movies",Movie,"The Siege of Jadotville Richie Smyth Ireland Action & Adventure, Dramas, International Movies Movie"
LEGO Jurassic World: The Indominus Escape,Michael D. Black,United States,"Children & Family Movies, Comedies",Movie,"LEGO Jurassic World: The Indominus Escape Michael D. Black United States Children & Family Movies, Comedies Movie"
Bombshell,Riccardo Pilizzeri,New Zealand,Dramas,Movie,Bombshell Riccardo Pilizzeri New Zealand Dramas Movie
Chatô: The King of Brazil,Guilherme Fontes,Brazil,"Dramas, International Movies",Movie,"Chatô: The King of Brazil Guilherme Fontes Brazil Dramas, International Movies Movie"
Harud,Aamir Bashir,India,"Dramas, International Movies",Movie,"Harud Aamir Bashir India Dramas, International Movies Movie"
Much Ado About Nothing,Alejandro Fernández Almendras,Chile,"Dramas, Independent Movies, International Movies",Movie,"Much Ado About Nothing Alejandro Fernández Almendras Chile Dramas, Independent Movies, International Movies Movie"
My Big Night,Álex de la Iglesia,Spain,"Comedies, International Movies, Music & Musicals",Movie,"My Big Night Álex de la Iglesia Spain Comedies, International Movies, Music & Musicals Movie"
My Little Pony Equestria Girls: Legend of Everfree,Ishi Rudell,United States,"Children & Family Movies, Comedies",Movie,"My Little Pony Equestria Girls: Legend of Everfree Ishi Rudell United States Children & Family Movies, Comedies Movie"
Old Money,David Schalko,United States,"International TV Shows, TV Comedies, TV Dramas",TV Show,"Old Money David Schalko United States International TV Shows, TV Comedies, TV Dramas TV Show"
Riphagen - The Untouchable,Pieter Kuijpers,Netherlands,"Dramas, International Movies",Movie,"Riphagen - The Untouchable Pieter Kuijpers Netherlands Dramas, International Movies Movie"
Umrika,Prashant Nair,India,"Dramas, Independent Movies, International Movies",Movie,"Umrika Prashant Nair India Dramas, Independent Movies, International Movies Movie"
Unchained: The Untold Story of Freestyle Motocross,"Paul Taublieb, Jon Freeman",United States,"Documentaries, Sports Movies",Movie,"Unchained: The Untold Story of Freestyle Motocross Paul Taublieb, Jon Freeman United States Documentaries, Sports Movies Movie"
Welcome Mr. President,Riccardo Milani,Italy,"Comedies, International Movies",Movie,"Welcome Mr. President Riccardo Milani Italy Comedies, International Movies Movie"
Amanda Knox,"Rod Blackhurst, Brian McGinn",Denmark,Documentaries,Movie,"Amanda Knox Rod Blackhurst, Brian McGinn Denmark Documentaries Movie"
Audrie & Daisy,"Bonni Cohen, Jon Shenk",United States,Documentaries,Movie,"Audrie & Daisy Bonni Cohen, Jon Shenk United States Documentaries Movie"
Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,United States,Stand-Up Comedy,Movie,Iliza Shlesinger: Confirmed Kills Bobcat Goldthwait United States Stand-Up Comedy Movie
ARQ,Tony Elliott,Canada,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie,"ARQ Tony Elliott Canada International Movies, Sci-Fi & Fantasy, Thrillers Movie"
Cedric the Entertainer: Live from the Ville,Troy Miller,United States,Stand-Up Comedy,Movie,Cedric the Entertainer: Live from the Ville Troy Miller United States Stand-Up Comedy Movie
The White Helmets,Orlando von Einsiedel,United Kingdom,Documentaries,Movie,The White Helmets Orlando von Einsiedel United Kingdom Documentaries Movie
Sample This,Dan Forrer,United States,"Documentaries, Music & Musicals",Movie,"Sample This Dan Forrer United States Documentaries, Music & Musicals Movie"
Extremis,Dan Krauss,United States,Documentaries,Movie,Extremis Dan Krauss United States Documentaries Movie
Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,Jay Karas,United States,Stand-Up Comedy,Movie,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking... Jay Karas United States Stand-Up Comedy Movie
XOXO,Christopher Louie,United States,"Dramas, Music & Musicals",Movie,"XOXO Christopher Louie United States Dramas, Music & Musicals Movie"
I'll Sleep When I'm Dead,Justin Krook,United States,"Documentaries, Music & Musicals",Movie,"I'll Sleep When I'm Dead Justin Krook United States Documentaries, Music & Musicals Movie"
Jim Gaffigan: Beyond the Pale,Michael Drumm,United States,Stand-Up Comedy,Movie,Jim Gaffigan: Beyond the Pale Michael Drumm United States Stand-Up Comedy Movie
Jim Gaffigan: King Baby,Troy Miller,United States,Stand-Up Comedy,Movie,Jim Gaffigan: King Baby Troy Miller United States Stand-Up Comedy Movie
Jim Gaffigan: Mr. Universe,Jay Karas,United States,Stand-Up Comedy,Movie,Jim Gaffigan: Mr. Universe Jay Karas United States Stand-Up Comedy Movie
Jim Gaffigan: Obsessed,Jay Chapman,United States,Stand-Up Comedy,Movie,Jim Gaffigan: Obsessed Jay Chapman United States Stand-Up Comedy Movie
David Cross: Making America Great Again!,Alex Coletti,United States,Stand-Up Comedy,Movie,David Cross: Making America Great Again! Alex Coletti United States Stand-Up Comedy Movie
Lavell Crawford: Can a Brother Get Some Love?,Michael Drumm,United States,Stand-Up Comedy,Movie,Lavell Crawford: Can a Brother Get Some Love? Michael Drumm United States Stand-Up Comedy Movie
Children of God,John Smithson,United Kingdom,Documentaries,Movie,Children of God John Smithson United Kingdom Documentaries Movie
Interview with a Serial Killer,Christopher Martin,United States,Documentaries,Movie,Interview with a Serial Killer Christopher Martin United States Documentaries Movie
Real Crime: Diamond Geezers,Tom Whitter,United Kingdom,Documentaries,Movie,Real Crime: Diamond Geezers Tom Whitter United Kingdom Documentaries Movie
Tallulah,Sian Heder,United States,"Dramas, Independent Movies",Movie,"Tallulah Sian Heder United States Dramas, Independent Movies Movie"
Rebirth,Karl Mueller,United States,"Dramas, Thrillers",Movie,"Rebirth Karl Mueller United States Dramas, Thrillers Movie"
Tony Robbins: I Am Not Your Guru,Joe Berlinger,United States,Documentaries,Movie,Tony Robbins: I Am Not Your Guru Joe Berlinger United States Documentaries Movie
Gridlocked,Allan Ungar,Canada,Action & Adventure,Movie,Gridlocked Allan Ungar Canada Action & Adventure Movie
Brahman Naman,Qaushiq Mukherjee,India,"Comedies, Independent Movies, International Movies",Movie,"Brahman Naman Qaushiq Mukherjee India Comedies, Independent Movies, International Movies Movie"
Kuromukuro,Tensai Okamura,Japan,"Anime Series, International TV Shows",TV Show,"Kuromukuro Tensai Okamura Japan Anime Series, International TV Shows TV Show"
Jim Jefferies: Freedumb,Ryan Polito,United States,Stand-Up Comedy,Movie,Jim Jefferies: Freedumb Ryan Polito United States Stand-Up Comedy Movie
X: Past Is Present,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma",India,"Dramas, Independent Movies, International Movies",Movie,"X: Past Is Present Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma India Dramas, Independent Movies, International Movies Movie"
Sofía Niño de Rivera: Exposed,"Raúl Campos, Jan Suter",Mexico,Stand-Up Comedy,Movie,"Sofía Niño de Rivera: Exposed Raúl Campos, Jan Suter Mexico Stand-Up Comedy Movie"
The Fundamentals of Caring,Rob Burnett,United States,"Comedies, Dramas, Independent Movies",Movie,"The Fundamentals of Caring Rob Burnett United States Comedies, Dramas, Independent Movies Movie"
Ip Man 3,Wilson Yip,China,"Action & Adventure, Dramas, International Movies",Movie,"Ip Man 3 Wilson Yip China Action & Adventure, Dramas, International Movies Movie"
Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",United States,"Music & Musicals, Stand-Up Comedy",Movie,"Bo Burnham: Make Happy Bo Burnham, Christopher Storer United States Music & Musicals, Stand-Up Comedy Movie"
#cats_the_mewvie,Michael Margolis,Canada,"Documentaries, International Movies",Movie,"#cats_the_mewvie Michael Margolis Canada Documentaries, International Movies Movie"
The Do-Over,Steven Brill,United States,"Action & Adventure, Comedies",Movie,"The Do-Over Steven Brill United States Action & Adventure, Comedies Movie"
Ali Wong: Baby Cobra,Jay Karas,United States,Stand-Up Comedy,Movie,Ali Wong: Baby Cobra Jay Karas United States Stand-Up Comedy Movie
Special Correspondents,Ricky Gervais,Canada,Comedies,Movie,Special Correspondents Ricky Gervais Canada Comedies Movie
Team Foxcatcher,Jon Greenhalgh,United States,"Documentaries, Sports Movies",Movie,"Team Foxcatcher Jon Greenhalgh United States Documentaries, Sports Movies Movie"
